"";"dates";"titles";"links"
"187";"22/04/2021";"Discours de M. Jean Castex : conférence de presse sur les mesures contre la Covid-19";"/discours/12246-discours-de-m-jean-castex-conference-de-presse-sur-les-mesures-de-lutte-contre-la-covid-19"
"188";"20/04/2021";"Plan 15 000 - Centre pénitentiaire de Lutterbach";"/discours/12239-plan-15-000-centre-penitentiaire-de-lutterbach"
"189";"14/04/2021";"Organisation des prochaines élections régionales et départementales : discours du Premier ministre au Sénat";"/discours/12229-organisation-des-prochaines-elections-regionales-et-departementales-discours-du-premier-ministre-au"
"190";"13/04/2021";"Organisation des prochaines élections régionales et départementales : discours du Premier ministre à l'Assemblée nationale";"/discours/12222-organisation-des-prochaines-elections-regionales-et-departementales"
"191";"03/04/2021";"300 ans des brigades de la Gendarmerie nationale";"/discours/12215-300-ans-des-brigades-de-la-gendarmerie-nationale"
"192";"01/04/2021";"Déclaration du Gouvernement devant le Sénat relative à l'évolution de la situation sanitaire et aux mesures nécessaires pour y répondre";"/discours/12206-declaration-du-gouvernement-devant-le-senat-relative-a-l-evolution-de-la-situation-sanitaire-et-aux"
"193";"01/04/2021";"Déclaration du Premier ministre Jean Castex devant l’Assemblée Nationale";"/discours/12205-declaration-du-premier-ministre-jean-castex-devant-l-assemblee-nationale"
"194";"19/03/2021";"Discours de Jean Castex : conférence de presse sur les mesures contre la Covid-19";"/discours/12187-discours-de-jean-castex-conference-de-presse-sur-les-mesures-contre-la-covid-19"
"195";"15/03/2021";"Conférence du dialogue social";"/discours/12181-conference-du-dialogue-social"
"196";"09/03/2021";"Ségur de la Santé - Cosnes-Cours-sur-Loire";"/discours/12166-segur-de-la-sante-cosnes-cours-sur-loire"
"197";"27/07/2017";"Hommage à la députée Corinne ERHEL";"/discours/9385-hommage-a-la-deputee-corinne-erhel"
"198";"26/07/2017";"Discours de M. Edouard PHILIPPE au Conseil interministériel du Tourisme";"/discours/9381-discours-de-m-edouard-philippe-au-conseil-interministeriel-du-tourisme"
