"";"dates";"titles";"links"
"99";"07/02/2022";"Discours du Premier ministre Jean Castex - Égalité des Français devant le numérique";"/discours/12675-discours-du-premier-ministre-jean-castex-egalite-des-francais-devant-le-numerique"
"100";"05/02/2022";"Discours de Jean Castex, Premier ministre, dans l'Ariège, sur l'égalité Français devant le numérique";"/discours/12674-discours-de-jean-cadesstex-premier-ministre-dans-l-ariege-sur-l-egalite-francais-devant-le-numerique"
"101";"03/02/2022";"Comité Interministériel du Handicap - discours d'ouverture de Jean Castex";"/discours/12668-comite-interministeriel-du-handicap-discours-d-ouverture-de-jean-castex"
"102";"01/02/2022";"Discours du Premier ministre Jean Castex - Conclusion du Varenne agricole de l’eau et de l’adaptation au changement climatique";"/discours/12663-discours-du-premier-ministre-jean-castex-conclusion-du-varenne-agricole-de-l-eau-et-de-l-adaptation"
"103";"28/01/2022";"Discours du Premier ministre Jean Castex - Inauguration de l'Institut national du service public";"/discours/12655-discours-du-premier-ministre-jean-castex-inauguration-de-l-institut-national-du-service-public"
"104";"28/01/2022";"Commémoration de la libération du camp de concentration dAuschwitz-Birkenau - Discours de Jean Castex";"/discours/12653-commemoration-de-la-liberation-du-camp-de-concentration-dauschwitz-birkenau-discours-de-jean-castex"
"105";"21/01/2022";"Discours du Premier ministre Jean Castex - Pose de la première pierre du nouveau CHU de Nantes";"/discours/12646-discours-du-premier-ministre-jean-castex-pose-de-la-premiere-pierre-du-nouveau-chu-de-nantes"
"106";"20/01/2022";"Discours de Jean Castex - Conférence de presse sur les mesures contre la Covid-19";"/discours/12643-discours-de-jean-castex-conference-de-presse-sur-les-mesures-de-lutte-contre-la-covid-19"
"107";"18/01/2022";"Soutien aux professionnels du secteur de l’hôtellerie-cafés-restauration";"/discours/12639-soutien-aux-professionnels-du-secteur-de-l-hotellerie-cafes-restauration"
"108";"13/01/2022";"Discours de Jean Castex sur le prolongement de la ligne 4 du métro parisien";"/discours/12634-discours-de-jean-castex-sur-le-prolongement-de-la-ligne-4-du-metro-parisien"
"109";"11/01/2022";"Coupe du monde de Rugby à XII : discours de Jean Castex";"/discours/12627-coupe-du-monde-de-rugby-a-xii-discours-de-jean-castex-premier-ministre"
"110";"28/12/2021";"Discours du Premier ministre Jean Castex - Centre hospitalier intercommunal de Créteil";"/discours/12620-discours-du-premier-ministre-jean-castex-centre-hospitalier-intercommunal-de-creteil"
"111";"27/12/2021";"Déclaration du Premier ministre Jean Castex - Mesures contre la Covid-19";"/discours/12617-declaration-du-premier-ministre-jean-castex-mesures-contre-la-covid-19"
"112";"16/12/2021";"Discours du Premier ministre Jean Castex - Inauguration de la Cour administrative d’appel de Toulouse";"/discours/12610-discours-de-m-jean-castex-premier-ministre-inauguration-de-la-cour-administrative-d-appel"
"113";"16/12/2021";"Discours du Premier ministre Jean Castex - Conférence des présidents d'université";"/discours/12608-discours-du-premier-ministre-jean-castex-conference-des-presidents-d-universite"
"114";"15/12/2021";"Discours du Premier ministre Jean Castex - 60ème anniversaire du Centre national d’études spatiales";"/discours/12605-discours-du-premier-ministre-jean-castex-60eme-anniversaire-du-centre-national-d-etudes-spatiales"
"115";"15/12/2021";"Discours du Premier ministre Jean Castex devant l'Assemblée nationale, relatif au programme de la présidence française de l'Union européenne";"/discours/12603-discours-du-premier-ministre-jean-castex-devant-l-assemblee-nationale-relatif-au-programme-de-la"
"116";"14/12/2021";"Discours du Premier ministre Jean Castex - Inauguration de PariSanté Campus";"/discours/12600-discours-du-premier-ministre-jean-castex-inauguration-de-parisante-campus"
"117";"14/12/2021";"Discours du Premier ministre Jean Castex à l'école Ahmed Litim de Marseille";"/discours/12599-discours-du-premier-ministre-jean-castex-a-l-ecole-ahmed-litim-de-marseille"
"118";"14/12/2021";"Discours du Premier ministre Jean Castex à la tour la Marseillaise (siège de AMP Métropole à Marseille)";"/discours/12598-discours-du-premier-ministre-jean-castex-a-la-tour-la-marseillaise-siege-de-amp-metropole-a"
"119";"14/12/2021";"Discours du Premier ministre Jean Castex à l'hôpital de la Timone à Marseille";"/discours/12597-discours-du-premier-ministre-jean-castex-a-l-hopital-de-la-timone-a-marseille"
"120";"13/12/2021";"Discours du Premier ministre Jean Castex - Centre de vaccination du parc Chanot à Marseille";"/discours/12596-discours-du-premier-ministre-jean-castex-centre-de-vaccination-du-parc-chanot-a-marseille"
"121";"12/12/2021";"Discours du Premier ministre Jean Castex - Réouverture de la ligne Epinal – Saint-Dié-des-Vosges";"/discours/12591-discours-du-premier-ministre-jean-castex-reouverture-de-la-ligne-epinal-saint-die-des-vosges"
"122";"11/12/2021";"Discours de Jean Castex à l'occasion de l'inauguration du contournement ouest de Strasbourg";"/discours/12589-discours-de-jean-castex-a-l-occasion-de-l-inauguration-du-contournement-ouest-de-strasbourg"
"123";"11/12/2021";"Discours du Premier ministre Jean Castex - Inauguration du contournement ouest de Strasbourg";"/discours/12592-discours-du-premier-ministre-jean-castex-inauguration-du-contournement-ouest-de-strasbourg"
"124";"10/12/2021";"Discours du Premier ministre Jean Castex depuis la Résidence de France à Madrid";"/discours/12584-discours-de-jean-castex-premier-ministre-depuis-la-residence-de-france-a-madrid"
"125";"06/12/2021";"Discours du Premier ministre Jean Castex - Conférence de presse sur les mesures contre la Covid 19";"/discours/12575-discours-du-premier-ministre-jean-castex-conference-de-presse-sur-les-mesures-contre-la-covid-19"
"126";"03/12/2021";"Discours du Premier ministre Jean Castex - Assemblée des départements de France";"/discours/12579-discours-du-premier-ministre-jean-castex-assemblee-des-departements-de-france"
"127";"03/12/2021";"Discours de clôture de la cérémonie des 80 ans de l’Agence française de développement";"/discours/12568-cloture-de-la-ceremonie-des-80-ans-de-l-agence-francaise-de-developpement"
"128";"02/12/2021";"Discours du Premier ministre Jean Castex à Angoulême";"/discours/12566-discours-du-premier-ministre-jean-castex-a-angouleme"
"129";"02/12/2021";"Discours du Premier ministre Jean Castex - Honneurs militaires rendus au Général Gudin";"/discours/12572-discours-du-premier-ministre-jean-castex-honneurs-militaires-rendus-au-general-gudin"
"130";"22/11/2021";"Déclaration du Premier ministre Jean Castex - Point sur la situation en Guadeloupe";"/discours/12549-declaration-du-premier-ministre-jean-castex-point-sur-la-situation-en-guadeloupe"
"131";"22/11/2021";"Discours du Premier ministre Jean Castex - Conférence de presse avec Alexander De Croo, Premier ministre du Royaume de Belgique";"/discours/12547-discours-du-premier-ministre-jean-castex-conference-de-presse-avec-alexander-de-croo-premier"
"132";"20/11/2021";"Discours du Premier ministre Jean Castex - Présentation du plan Destination France";"/discours/12544-discours-du-premier-ministre-jean-castex-presentation-du-plan-destination-france"
"133";"15/11/2021";"Discours du Premier ministre Jean Castex - Comité interministériel aux Jeux olympiques et paralympiques de Paris 2024";"/discours/12540-discours-du-premier-ministre-jean-castex-comite-interministeriel-aux-jeux-olympiques-et"
"134";"14/11/2021";"Discours du Premier ministre Jean Castex - 11ème Convention nationale du Conseil représentatif des institutions juives de France";"/discours/12537-discours-du-premier-ministre-jean-castex-11eme-convention-nationale-du-conseil-representatif-des"
"135";"12/11/2021";"Discours du Premier ministre Jean Castex sur le 75e anniversaire de l'Unesco";"/discours/12534-discours-du-premier-ministre-jean-castex-sur-le-75e-anniversaire-de-l-unesco"
"136";"08/11/2021";"Discours de M. Jean Castex, Premier ministre en visite à la Maison d’accueil spécialisée La Source";"/discours/12529-discours-de-m-jean-castex-premier-ministre-en-visite-a-la-maison-d-accueil-specialisee-la-source"
"137";"08/11/2021";"Discours du Premier ministre Jean Castex - 88ème Congrès des maires de Haute-Savoie";"/discours/12528-discours-du-premier-ministre-jean-castex-88eme-congres-des-maires-de-haute-savoie"
"138";"08/11/2021";"Discours du Premier ministre Jean Castex - Comité stratégique de la Société du Grand Paris";"/discours/12526-discours-du-premier-ministre-jean-castex-comite-strategique-de-la-societe-du-grand-paris"
"139";"06/11/2021";"Discours du Premier ministre Jean Castex - 88ème Congrès des maires de Haute-Savoie";"/discours/12524-discours-du-premier-ministre-jean-castex-88eme-congres-des-maires-de-haute-savoie"
"140";"05/11/2021";"Discours du Premier ministre Jean Castex - Stratégie régionale des investissements du Ségur de la Santé en Occitanie";"/discours/12523-discours-du-premier-ministre-jean-castex-strategie-regionale-des-investissements-du-segur-de-la"
"141";"02/11/2021";"Discours du Premier ministre Jean Castex - Mission locale pour l'emploi des jeunes";"/discours/12514-mission-locale-pour-l-emploi-des-jeunes"
"142";"28/10/2021";"Discours du Premier ministre Jean Castex au Tribunal judiciaire de Lorient";"/discours/12513-discours-du-premier-ministre-jean-castex-au-tribunal-judiciaire-de-lorient"
"143";"19/10/2021";"Discours du Premier ministre Jean Castex au CHU de Dijon";"/discours/12500-discours-du-premier-ministre-jean-castex-au-chu-de-dijon-segur-de-la-sante"
"144";"18/10/2021";"100ème anniversaire du rétablissement des relations diplomatiques entre la France et le Saint-Siège";"/discours/12498-100eme-anniversaire-du-retablissement-des-relations-diplomatiques-entre-la-france-et-le-saint-siege"
"145";"16/10/2021";"Hommage à Samuel Paty";"/discours/12495-hommage-a-samuel-paty"
"146";"15/10/2021";"12ème Université des maires du Val d’Oise";"/discours/12494-12eme-universite-des-maires-du-val-d-oise"
"147";"08/10/2021";"Institut des Hautes études de Défense nationale (IHEDN)";"/discours/12491-institut-des-hautes-etudes-de-defense-nationale-ihedn"
"148";"08/10/2021";"Le numérique au service de l'innovation pédagogique et de l'égalité des chances";"/discours/12488-le-numerique-au-service-de-l-innovation-pedagogique-et-de-l-egalite-des-chances"
"149";"06/10/2021";"Résultats de l'appel à projets transports collectifs en site propre - Tourcoing";"/discours/12485-resultats-de-l-appel-a-projets-transports-collectifs-en-site-propre-tourcoing"
"150";"01/10/2021";"Signature d’un contrat de sécurité intégrée entre l’État et les villes de Rennes et de Saint-Jacques-de-la-Lande et Comité interministériel à la Ville";"/discours/12480-signature-d-un-contrat-de-securite-integree-entre-l-etat-et-les-villes-de-rennes-et-de-saint-jacques"
